timestamp,consumption
datetime,float
T,
2016-02-18 00:00:00,574
2016-02-18 00:00:01,574
2016-02-18 00:00:02,574
2016-02-18 00:00:03,574
2016-02-18 00:00:04,574
2016-02-18 00:00:05,574
2016-02-18 00:00:06,574
2016-02-18 00:00:07,574
2016-02-18 00:00:08,574
2016-02-18 00:00:09,575
2016-02-18 00:00:10,575
2016-02-18 00:00:11,575
2016-02-18 00:00:12,575
2016-02-18 00:00:13,575
2016-02-18 00:00:14,574
2016-02-18 00:00:15,574
2016-02-18 00:00:16,574
2016-02-18 00:00:17,575
2016-02-18 00:00:18,574
2016-02-18 00:00:19,575
2016-02-18 00:00:20,574
2016-02-18 00:00:21,575
2016-02-18 00:00:22,575
2016-02-18 00:00:23,575
2016-02-18 00:00:24,575
2016-02-18 00:00:25,575
2016-02-18 00:00:26,575
2016-02-18 00:00:27,575
2016-02-18 00:00:28,575
2016-02-18 00:00:29,575
2016-02-18 00:00:30,575
2016-02-18 00:00:31,575
2016-02-18 00:00:32,575
2016-02-18 00:00:33,575
2016-02-18 00:00:34,575
2016-02-18 00:00:35,575
2016-02-18 00:00:36,576
2016-02-18 00:00:37,575
2016-02-18 00:00:38,575
2016-02-18 00:00:39,575
2016-02-18 00:00:40,575
2016-02-18 00:00:41,575
2016-02-18 00:00:42,575
2016-02-18 00:00:43,575
2016-02-18 00:00:44,575
2016-02-18 00:00:45,575
2016-02-18 00:00:46,575
2016-02-18 00:00:47,575
2016-02-18 00:00:48,575
2016-02-18 00:00:49,575
2016-02-18 00:00:50,576
2016-02-18 00:00:51,576
2016-02-18 00:00:52,576
2016-02-18 00:00:53,576
2016-02-18 00:00:54,577
2016-02-18 00:00:55,577
2016-02-18 00:00:56,577
2016-02-18 00:00:57,577
2016-02-18 00:00:58,577
2016-02-18 00:00:59,577
2016-02-18 00:01:00,577
2016-02-18 00:01:01,577
2016-02-18 00:01:02,577
2016-02-18 00:01:03,577
2016-02-18 00:01:04,576
2016-02-18 00:01:05,576
2016-02-18 00:01:06,577
2016-02-18 00:01:07,576
2016-02-18 00:01:08,576
2016-02-18 00:01:09,576
2016-02-18 00:01:10,576
2016-02-18 00:01:11,577
2016-02-18 00:01:12,577
2016-02-18 00:01:13,577
2016-02-18 00:01:14,577
2016-02-18 00:01:15,577
2016-02-18 00:01:16,576
2016-02-18 00:01:17,577
2016-02-18 00:01:18,577
2016-02-18 00:01:19,577
2016-02-18 00:01:20,577
2016-02-18 00:01:21,577
2016-02-18 00:01:22,577
2016-02-18 00:01:23,577
2016-02-18 00:01:24,577
2016-02-18 00:01:25,577
2016-02-18 00:01:26,577
2016-02-18 00:01:27,577
2016-02-18 00:01:28,577
2016-02-18 00:01:29,577
2016-02-18 00:01:30,577
2016-02-18 00:01:31,577
2016-02-18 00:01:32,577
2016-02-18 00:01:33,576
2016-02-18 00:01:34,576
2016-02-18 00:01:35,577
2016-02-18 00:01:36,577
2016-02-18 00:01:37,577
2016-02-18 00:01:38,577
2016-02-18 00:01:39,576
2016-02-18 00:01:40,577
2016-02-18 00:01:41,577
2016-02-18 00:01:42,577
2016-02-18 00:01:43,577
2016-02-18 00:01:44,576
2016-02-18 00:01:45,577
2016-02-18 00:01:46,577
2016-02-18 00:01:47,577
2016-02-18 00:01:48,577
2016-02-18 00:01:49,577
2016-02-18 00:01:50,577
2016-02-18 00:01:51,577
2016-02-18 00:01:52,577
2016-02-18 00:01:53,577
2016-02-18 00:01:54,577
2016-02-18 00:01:55,577
2016-02-18 00:01:56,577
2016-02-18 00:01:57,576
2016-02-18 00:01:58,576
2016-02-18 00:01:59,577
2016-02-18 00:02:00,577
2016-02-18 00:02:01,577
2016-02-18 00:02:02,577
2016-02-18 00:02:03,577
2016-02-18 00:02:04,577
2016-02-18 00:02:05,577
2016-02-18 00:02:06,577
2016-02-18 00:02:07,577
2016-02-18 00:02:08,577
2016-02-18 00:02:09,577
2016-02-18 00:02:10,577
2016-02-18 00:02:11,577
2016-02-18 00:02:12,578
2016-02-18 00:02:13,577
2016-02-18 00:02:14,577
2016-02-18 00:02:15,577
2016-02-18 00:02:16,577
2016-02-18 00:02:17,577
2016-02-18 00:02:18,577
2016-02-18 00:02:19,577
2016-02-18 00:02:20,577
2016-02-18 00:02:21,577
2016-02-18 00:02:22,577
